r,dp
2.302172886644267535e+01,7.544309176581184273e-01
2.402082429892862692e+01,7.608097681379326627e-01
2.000000000000000000e+00,3.633801374213395663e-01
2.236067977499789805e+00,3.866198625786597676e-01
2.828427124746190291e+00,4.244137228460461708e-01
3.605551275463989125e+00,4.622075831134326296e-01
4.472135954999579610e+00,4.959632209975086692e-01
5.385164807134503739e+00,5.253030594739689363e-01
6.324555320336759046e+00,5.508076635171406110e-01
7.280109889280518054e+00,5.731723602762004433e-01
8.246211251235321171e+00,5.929939892100968279e-01
9.219544457292887074e+00,6.107436453063397330e-01
1.019803902718556898e+01,6.267853403559990877e-01
1.118033988749894903e+01,6.414005115890742958e-01
1.216552506059643868e+01,6.548086697403002754e-01
1.315294643796590535e+01,6.671830049468168156e-01
1.414213562373095101e+01,6.786617997419202020e-01
1.513274595042155646e+01,6.893567259339690168e-01
1.612451549659709826e+01,6.993589074981108045e-01
1.711724276862369010e+01,7.087433953538651021e-01
1.811077027627483460e+01,7.175725094744564991e-01
1.910497317454279909e+01,7.258983662527513925e-01
2.009975124224177989e+01,7.337648134622346552e-01
2.109502310972898798e+01,7.412089294654196081e-01
2.209072203437452231e+01,7.482621981562932456e-01
2.308679276123039159e+01,7.549514398684641359e-01
2.408318915758459156e+01,7.612995566517483104e-01
3.000000000000000000e+00,4.302808245280396182e-01
3.162277660168379523e+00,4.403756587579231718e-01
3.605551275463989125e+00,4.622075831134325186e-01
4.242640687119284770e+00,4.880777298522521734e-01
5.000000000000000000e+00,5.139478765910718838e-01
5.830951894845300743e+00,5.381946170653857386e-01
6.708203932499369415e+00,5.603635318892913331e-01
7.615773105863908654e+00,5.804813368824004449e-01
8.544003745317530374e+00,5.987408181286048015e-01
9.486832980505138124e+00,6.153707390534173260e-01
1.044030650891055068e+01,6.305873729596292998e-01
1.140175425099137918e+01,6.445797202038686669e-01
1.236931687685298087e+01,6.575077668334199377e-01
1.334166406412633421e+01,6.695052662622200668e-01
1.431782106327635340e+01,6.806836659091282105e-01
1.529705854077835525e+01,6.911359247749004897e-01
1.627882059609970611e+01,7.009398249437002182e-01
1.726267650163206824e+01,7.101607120155870589e-01
1.824828759089465890e+01,7.188537167529012173e-01
1.923538406167134340e+01,7.270655417955281807e-01
2.022374841615668473e+01,7.348358965646581975e-01
2.121320343559642652e+01,7.421986522213824822e-01
2.220360331117451835e+01,7.491827753521430600e-01
2.319482700948640286e+01,7.558130870076966712e-01
2.418677324489564739e+01,7.621108836881065329e-01
4.000000000000000000e+00,4.769918431749726184e-01
4.123105625617660586e+00,4.823943648115611715e-01
4.472135954999579610e+00,4.959632209975086692e-01
5.000000000000000000e+00,5.139478765910719948e-01
