r,dp
1.236931687685298087e+01,2.597090641147703938e+00
1.334166406412633421e+01,2.644455969493429315e+00
1.431782106327635340e+01,2.688586352234810128e+00
1.529705854077835525e+01,2.729849269696815739e+00
1.627882059609970611e+01,2.768552035572405590e+00
1.726267650163206824e+01,2.804953189017255433e+00
1.824828759089465890e+01,2.839269998424724051e+00
1.923538406167134340e+01,2.871687329523539667e+00
2.022374841615668473e+01,2.902362079426644481e+00
2.121320343559642652e+01,2.931427269599362173e+00
2.220360331117451835e+01,2.958998185311636497e+00
2.319482700948640286e+01,2.985172034557355136e+00
2.418677324489564739e+01,3.010033405345237334e+00
